unique_id,rating_1,rating_2,rating_3,consensus,raters
DOSEESC_EM01_09.20.2017_13_45_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_13_46_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_18_25,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_18_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_14_19_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_20_31,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_14_20_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_14_21_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_21_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_23_34,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_14_30_21,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_14_32_20,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_34_20,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_41_41,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_14_42_39,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_14_44_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_14_45_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_16_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_15_17_30,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_17_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_18_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_19_26,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_15_19_30,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_19_34,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_19_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_21_41,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_22_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_23_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_25_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_26_20,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_27_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_30_20,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_31_19,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_15_33_19,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_40_40,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_42_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_15_42_40,Acceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_15_43_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_15_45_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_15_46_33,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_16_17_30,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_16_18_31,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_19_26,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_16_19_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_16_20_30,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_20_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_16_22_23,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_22_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_22_40,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_23_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_16_30_21,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_16_31_19,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_16_43_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_16_44_35,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_17_16_30,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_17_17_34,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_17_22_32,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_17_23_23,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_17_25_41,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_17_26_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_17_26_31,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_17_27_28,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_17_29_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_17_34_21,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_17_41_39,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_17_42_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_17_45_32,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_18_18_30,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_18_21_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_18_22_31,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_18_25_26,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_18_31_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_18_41_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_18_43_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_19_22_32,Acceptable,Unacceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_19_24_23,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_19_24_27,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_19_26_23,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_19_27_25,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_19_29_25,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_19_33_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_19_41_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_20_21_28,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_20_23_30,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_20_23_34,Acceptable,Unacceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_20_26_24,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_20_26_28,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_21_29_25,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_22_27_31,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_7_28_36,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_8_26_23,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_8_27_24,Unacceptable,Unacceptable,Acceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_8_31_24,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_8_38_38,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_8_43_37,Acceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_8_44_36,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_9_24_22,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_9_25_34,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_9_27_21,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_9_28_22,Unacceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_9_29_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_9_30_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_9_32_19,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_9_33_22,Unacceptable,Unacceptable,Unacceptable,Unacceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_9_38_41,Acceptable,Acceptable,Acceptable,Acceptable,"['Sulaiman Sheriff', 'Hyunsuk Shim', 'Brent Weinberg']"
DOSEESC_EM01_09.20.2017_9_40_22,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_9_40_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_9_41_36,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_9_41_40,Acceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
DOSEESC_EM01_09.20.2017_9_42_37,Acceptable,Acceptable,Acceptable,Acceptable,"['Harish Poptani', 'Hui-Kuo Shu', 'Brian Soher']"
DOSEESC_EM01_09.20.2017_9_44_36,Unacceptable,Acceptable,Acceptable,Acceptable,"['Andrew Maudsley', 'Eric Mellon', 'Hyunsuk Shim']"
